round,date,main_1,main_2,main_3,main_4,main_5,main_6,bonus,second_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,main_birthday_count,bonus_birthday_indicator,second_prize_tickets_json,second_prize_birthday_counts_json,x2,z2,share2_index,source_file,source_file_sha256
45,20031011,1,10,20,27,33,35,17,27,71216232000,2000,35608116,4,1,"[[10,17,20,27,33,35],[1,17,20,27,33,35],[1,10,17,27,33,35],[1,10,17,20,33,35],[1,10,17,20,27,35],[1,10,17,20,27,33]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,1.0293375251866737,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
46,20031018,8,13,15,23,31,38,39,39,68181568000,2000,34090784,5,0,"[[13,15,23,31,38,39],[8,15,23,31,38,39],[8,13,23,31,38,39],[8,13,15,31,38,39],[8,13,15,23,38,39],[8,13,15,23,31,39]]","[4,4,4,4,4,5]",4.166666666666667,0.033333333333333215,1.5529971384641668,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
47,20031025,14,17,26,31,36,45,27,11,67756694000,2000,33878347,4,1,"[[17,26,27,31,36,45],[14,26,27,31,36,45],[14,17,27,31,36,45],[14,17,26,27,36,45],[14,17,26,27,31,45],[14,17,26,27,31,36]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.44077150517408659,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
48,20031101,6,10,18,26,37,38,3,25,65806832000,2000,32903416,4,1,"[[3,10,18,26,37,38],[3,6,18,26,37,38],[3,6,10,26,37,38],[3,6,10,18,37,38],[3,6,10,18,26,38],[3,6,10,18,26,37]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,1.0314354594671873,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
49,20031108,4,7,16,19,33,40,30,49,64501142000,2000,32250571,4,1,"[[7,16,19,30,33,40],[4,16,19,30,33,40],[4,7,19,30,33,40],[4,7,16,30,33,40],[4,7,16,19,30,40],[4,7,16,19,30,33]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,2.0625368152396435,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
50,20031115,2,10,12,15,22,44,1,14,65563234000,2000,32781617,5,1,"[[1,10,12,15,22,44],[1,2,12,15,22,44],[1,2,10,15,22,44],[1,2,10,12,22,44],[1,2,10,12,15,44],[1,2,10,12,15,22]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.57974992508758794,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
51,20031122,2,3,11,16,26,44,35,26,62553680000,2000,31276840,5,0,"[[3,11,16,26,35,44],[2,11,16,26,35,44],[2,3,16,26,35,44],[2,3,11,26,35,44],[2,3,11,16,35,44],[2,3,11,16,26,35]]","[4,4,4,4,4,5]",4.166666666666667,0.033333333333333215,1.1284790918775682,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
52,20031129,2,4,15,16,20,29,1,13,64393446000,2000,32196723,6,1,"[[1,4,15,16,20,29],[1,2,15,16,20,29],[1,2,4,16,20,29],[1,2,4,15,20,29],[1,2,4,15,16,29],[1,2,4,15,16,20]]","[6,6,6,6,6,6]",6,1.8666666666666663,0.54811882563327952,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
53,20031206,7,8,14,32,33,39,42,25,64996010000,2000,32498005,3,0,"[[8,14,32,33,39,42],[7,14,32,33,39,42],[7,8,32,33,39,42],[7,8,14,33,39,42],[7,8,14,32,39,42],[7,8,14,32,33,42]]","[2,2,2,3,3,3]",2.5,-1.6333333333333337,1.0443025656497991,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
54,20031213,1,8,21,27,36,39,37,15,63833006000,2000,31916503,4,0,"[[8,21,27,36,37,39],[1,21,27,36,37,39],[1,8,27,36,37,39],[1,8,21,36,37,39],[1,8,21,27,37,39],[1,8,21,27,36,37]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.63799752748601557,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
55,20031220,17,21,31,37,40,44,7,24,62195764000,2000,31097882,3,1,"[[7,21,31,37,40,44],[7,17,31,37,40,44],[7,17,21,37,40,44],[7,17,21,31,40,44],[7,17,21,31,37,44],[7,17,21,31,37,40]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,1.0476674906670493,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
56,20031227,10,14,30,31,33,37,19,29,65258932000,2000,32629466,4,1,"[[14,19,30,31,33,37],[10,19,30,31,33,37],[10,14,19,31,33,37],[10,14,19,30,33,37],[10,14,19,30,31,37],[10,14,19,30,31,33]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,1.2065103976877831,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
57,20040103,7,10,16,25,29,44,6,25,70132666000,2000,35066333,5,1,"[[6,10,16,25,29,44],[6,7,16,25,29,44],[6,7,10,25,29,44],[6,7,10,16,29,44],[6,7,10,16,25,44],[6,7,10,16,25,29]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.96781576790478774,downloads/official-1-1237/raw/api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
58,20040110,10,24,25,33,40,44,1,39,66638136000,2000,33319068,3,1,"[[1,24,25,33,40,44],[1,10,25,33,40,44],[1,10,24,33,40,44],[1,10,24,25,40,44],[1,10,24,25,33,44],[1,10,24,25,33,40]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,1.5889667141950068,downloads/official-1-1237/raw/api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
59,20040117,6,29,36,39,41,45,13,23,67563698000,2000,33781849,2,1,"[[13,29,36,39,41,45],[6,13,36,39,41,45],[6,13,29,39,41,45],[6,13,29,36,41,45],[6,13,29,36,39,45],[6,13,29,36,39,41]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,0.92424573918378472,downloads/official-1-1237/raw/api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
60,20040124,2,8,25,36,39,42,11,27,65405936000,2000,32702968,3,1,"[[8,11,25,36,39,42],[2,11,25,36,39,42],[2,8,11,36,39,42],[2,8,11,25,39,42],[2,8,11,25,36,42],[2,8,11,25,36,39]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,1.1207780896217125,downloads/official-1-1237/raw/api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
