round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
149,20051008,2,11,21,34,41,42,7,48406950000,1000,48406950,3,48406950000
150,20051015,2,18,25,28,37,39,4,48763778000,1000,48763778,4,48763778000
151,20051022,1,2,10,13,18,19,4,47357067000,1000,47357067,6,47357067000
152,20051029,1,5,13,26,29,34,5,48180334000,1000,48180334,5,48180334000
153,20051105,3,8,11,12,13,36,4,47777735000,1000,47777735,5,47777735000
154,20051112,6,19,21,35,40,45,4,48022386000,1000,48022386,3,48022386000
155,20051119,16,19,20,32,33,41,9,46140202000,1000,46140202,3,46140202000
156,20051126,5,18,28,30,42,45,8,47344584000,1000,47344584,4,47344584000
157,20051203,19,26,30,33,35,39,2,46853365000,1000,46853365,3,46853365000
158,20051210,4,9,13,18,21,34,10,46368888000,1000,46368888,5,46368888000
159,20051217,1,18,30,41,42,43,6,44311926000,1000,44311926,3,44311926000
160,20051224,3,7,8,34,39,41,2,46833239000,1000,46833239,3,46833239000
161,20051231,22,34,36,40,42,45,7,53096453000,1000,53096453,1,53096453000
162,20060107,1,5,21,25,38,41,5,49050086000,1000,49050086,4,49050086000
163,20060114,7,11,26,28,29,44,7,49018952000,1000,49018952,5,49018952000
164,20060121,6,9,10,11,39,41,3,53052119000,1000,53052119,4,53052119000
165,20060128,5,13,18,19,22,42,2,58088118000,1000,58088118,5,58088118000
166,20060204,9,12,27,36,39,45,11,52157466000,1000,52157466,3,52157466000
167,20060211,24,27,28,30,36,39,5,52744392000,1000,52744392,4,52744392000
168,20060218,3,10,31,40,42,43,5,51496212000,1000,51496212,3,51496212000
169,20060225,16,27,35,37,43,45,5,52076183000,1000,52076183,2,52076183000
170,20060304,2,11,13,15,31,42,6,49718245000,1000,49718245,5,49718245000
171,20060311,4,16,25,29,34,35,6,50357474000,1000,50357474,4,50357474000
172,20060318,4,19,21,24,26,41,11,50758266000,1000,50758266,5,50758266000
173,20060325,3,9,24,30,33,34,8,52286521000,1000,52286521,4,52286521000
174,20060401,13,14,18,22,35,39,7,52340568000,1000,52340568,4,52340568000
175,20060408,19,26,28,31,33,36,5,50895147000,1000,50895147,4,50895147000
176,20060415,4,17,30,32,33,34,5,50488528000,1000,50488528,3,50488528000
177,20060422,1,10,13,16,37,43,7,50480325000,1000,50480325,4,50480325000
178,20060429,1,5,11,12,18,23,5,49582758000,1000,49582758,6,49582758000
179,20060506,5,9,17,25,39,43,10,47291694000,1000,47291694,4,47291694000
180,20060513,2,15,20,21,29,34,2,48895477000,1000,48895477,5,48895477000
181,20060520,14,21,23,32,40,45,6,49124446000,1000,49124446,3,49124446000
182,20060527,13,15,27,29,34,40,3,47222594000,1000,47222594,4,47222594000
183,20060603,2,18,24,34,40,42,6,45938460000,1000,45938460,3,45938460000
184,20060610,1,2,6,16,20,33,6,45503351000,1000,45503351,5,45503351000
185,20060617,1,2,4,8,19,38,3,45783088000,1000,45783088,5,45783088000
186,20060624,4,10,14,19,21,45,9,45484428000,1000,45484428,5,45484428000
187,20060701,1,2,8,18,29,38,7,45855961000,1000,45855961,5,45855961000
188,20060708,19,24,27,30,31,34,3,45176242000,1000,45176242,5,45176242000
189,20060715,8,14,32,35,37,45,3,43650551000,1000,43650551,2,43650551000
190,20060722,8,14,18,30,31,44,6,44864459000,1000,44864459,5,44864459000
191,20060729,5,6,24,25,32,37,4,44534869000,1000,44534869,4,44534869000
192,20060805,4,8,11,18,37,45,4,42035065000,1000,42035065,4,42035065000
