round,number_input_count,number_pass_count,number_candidate_count,number_gate,trio_raw_candidate_count,trio_valid_count,trio_gate,pair_raw_candidate_count,pair_valid_count,pair_gate,core_raw_candidate_count,core_available_count,core_gate,pair_ready,pair_test_ready,pair_research_hold,pair_system_hold,official_stop_stage,official_output_available,root_cause_morphology,row_hash
589,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,08b84ab0342557e166325edd199b7e62d5e20ffd4d648c8c6f45558751743b41
590,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,03ee1599c24bd3ce17f6dfefb64e9fc0fe1967ea77e30496b9af7d3a675ae93e
591,45,0,12,PASS,220,15,PASS,4,0,PASS,4,0,FAIL,0,0,0,4,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,b91bc92f41ceab48f15ed5351781dc40c3ab240eb42f090fb44e52bfbd78a63e
592,45,0,12,PASS,220,26,PASS,108,0,PASS,108,0,FAIL,0,0,0,108,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,a1c674cc04b49f5068a72f970964296a5f3e543e248a32781e08168b3ec84ff7
593,45,0,12,PASS,220,13,PASS,15,0,PASS,15,0,FAIL,0,0,0,15,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,960503e72876bbc77ea7e11faf85d07d3b5e27b6f9260536f88f59ed5d305940
594,45,0,12,PASS,220,50,PASS,418,0,PASS,418,0,FAIL,0,0,0,418,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,dc7c3207876abff97c6be6642d808f6f9f9dcec9139a46dd3853010b23c0444a
595,45,0,12,PASS,220,39,PASS,194,0,PASS,194,0,FAIL,0,0,0,194,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,d3429ee331b96c4fb82b681832ba9faa9e01b2f7c90edb0ad8e1525911b382c7
596,45,0,12,PASS,171,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,7983377dc8532ee9d75d5ac1b8361d4931583d2c35eb4cc905c52ee438b2308c
597,45,0,12,PASS,220,60,PASS,619,0,PASS,619,0,FAIL,0,0,0,619,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,c8b0b51fa618efc6fdfe987234b8c78f19ea0686cdf4918308bb84636604ce2c
598,45,0,12,PASS,220,16,PASS,23,0,PASS,23,0,FAIL,0,0,0,23,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,62d850008839d11d9bec995be8ecab79e727d2eada0414ed214d5a3729107ad9
599,45,0,12,PASS,220,69,PASS,816,0,PASS,816,0,FAIL,0,0,0,816,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,2837767284c2bd80c003ec2e0dd135fc540ab88794b2da218cd3376747ff4405
600,45,0,8,PASS,56,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,8ed7953841ff227c495177f6695eef9cbe72d99c6384497a2aef5cc95a50840a
601,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,2044c7c7ae13684b2a079ab5fa4fc9db6b2b94749e3e8f580f53fabe292be334
602,45,0,9,PASS,84,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,6f07827c6ae9c4e4f92d46157da5a11568b0a1003e88f1dc180daf3108b9d3ee
603,45,0,12,PASS,220,87,PASS,1408,0,PASS,1408,0,FAIL,0,0,0,1408,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,640c4f6d1d7c05665a79fc1d8ded5b7740068bb5020dc50c840ea086a0f8c4e0
604,45,0,6,PASS,20,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,da048a4a744f2b43f12ad3d9a67b1dbf4fbba65051d2969cfab906d5a0795d45
605,45,4,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,3b4e5e1ab829415c9bed8ca48b7b41a67a741b35ce52e7922c909ea1c9331f42
