target_round,source_round,source_main6,pair_completions,vote_counts,candidate_count,candidates_ordered,source_member_candidate_count_r,source_target_intersection_c,research_A,research_B,leftovers,candidate_hit_count,A_exact_hit_count,B_exact_hit_count,future_leakage_flag
61,60,2 8 25 36 39 42,2-8>20;2-25>3;2-36>43;2-39>40;2-42>37;8-25>12;8-36>40;8-39>37;8-42>34;25-36>17;25-39>23;25-42>29;36-39>15;36-42>9;39-42>3,3:2 37:2 40:2 9:1 12:1 15:1 17:1 20:1 23:1 29:1 34:1 43:1,3,3 37 40,0,0,3 37 40,,,0,0,,0
62,61,14 15 19 30 38 43,14-15>22;14-19>9;14-30>1;14-38>35;14-43>45;15-19>8;15-30>45;15-38>37;15-43>32;19-30>32;19-38>27;19-43>22;30-38>16;30-43>26;38-43>3,22:2 32:2 45:2 1:1 3:1 8:1 9:1 16:1 26:1 27:1 35:1 37:1,3,22 32 45,0,1,22 32 45,,,0,0,,0
63,62,3 8 15 27 29 35,3-8>28;3-15>24;3-27>6;3-29>10;3-35>31;8-15>19;8-27>1;8-29>5;8-35>41;15-27>9;15-29>13;15-35>40;27-29>43;27-35>28;29-35>26,28:2 1:1 5:1 6:1 9:1 10:1 13:1 19:1 24:1 26:1 31:1 40:1 41:1 43:1,1,28,0,1,,,,0,,,0
64,63,3 20 23 36 38 40,3-20>7;3-23>13;3-36>45;3-38>43;3-40>41;20-23>44;20-36>22;20-38>26;20-40>30;23-36>19;23-38>8;23-40>27;36-38>7;36-40>8;38-40>9,7:2 8:2 9:1 13:1 19:1 22:1 26:1 27:1 30:1 41:1 43:1 44:1 45:1,2,7 8,0,1,,,,0,,,0
65,64,14 15 18 21 26 36,14-15>22;14-18>7;14-21>13;14-26>8;14-36>37;15-18>6;15-21>12;15-26>7;15-36>39;18-21>42;18-26>37;18-36>24;21-26>31;21-36>6;26-36>16,6:2 7:2 37:2 8:1 12:1 13:1 16:1 22:1 24:1 31:1 39:1 42:1,3,6 7 37,0,1,6 7 37,,,0,0,,0
66,65,4 25 33 36 40 43,4-25>1;4-33>35;4-36>32;4-40>43;4-43>40;25-33>26;25-36>17;25-40>10;25-43>16;33-36>12;33-40>14;33-43>8;36-40>8;36-43>2;40-43>4,8:2 1:1 2:1 4:1 10:1 12:1 14:1 16:1 17:1 26:1 32:1 35:1 40:1 43:1,1,8,0,0,,,,0,,,0
67,66,2 3 7 17 22 24,2-3>25;2-7>27;2-17>32;2-22>12;2-24>1;3-7>20;3-17>1;3-22>11;3-24>15;7-17>12;7-22>37;7-24>11;17-22>42;17-24>43;22-24>38,1:2 11:2 12:2 15:1 20:1 25:1 27:1 32:1 37:1 38:1 42:1 43:1,3,1 11 12,0,2,1 11 12,,,0,0,,0
68,67,3 7 10 15 36 38,3-7>20;3-10>29;3-15>24;3-36>45;3-38>43;7-10>16;7-15>26;7-36>38;7-38>36;10-15>20;10-36>44;10-38>42;15-36>39;15-38>37;36-38>7,20:2 7:1 16:1 24:1 26:1 29:1 36:1 37:1 38:1 39:1 42:1 43:1 44:1 45:1,1,20,0,2,,,,0,,,0
69,68,10 12 15 16 26 39,10-12>26;10-15>20;10-16>7;10-26>12;10-39>41;12-15>21;12-16>5;12-26>10;12-39>45;15-16>2;15-26>7;15-39>36;16-26>36;16-39>17;26-39>22,7:2 36:2 2:1 5:1 10:1 12:1 17:1 20:1 21:1 22:1 26:1 41:1 45:1,2,7 36,0,2,,,,0,,,0
70,69,5 8 14 15 19 39,5-8>29;5-14>17;5-15>25;5-19>3;5-39>31;8-14>26;8-15>19;8-19>15;8-39>37;14-15>22;14-19>9;14-39>34;15-19>8;15-39>36;19-39>29,29:2 3:1 8:1 9:1 15:1 17:1 19:1 22:1 25:1 26:1 31:1 34:1 36:1 37:1,1,29,0,2,,,,0,,,0
