round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
127,20050507,6,43,1279,67175,1143382,50752603000,1000,50752603,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
128,20050514,6,23,1192,63294,1102953,52310392000,1000,52310392,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
129,20050521,11,50,1473,71124,1145600,51555754000,1000,51555754,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
130,20050528,4,30,1273,63587,1087239,51359012000,1000,51359012,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
131,20050604,8,33,1645,73893,1153272,50231773000,1000,50231773,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
132,20050611,4,34,1382,65277,1098225,49921897000,1000,49921897,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
133,20050618,8,51,1466,76266,1221679,50889926000,1000,50889926,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
134,20050625,5,50,1433,69698,1129299,50445575000,1000,50445575,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
135,20050702,7,28,1424,66201,1099249,51062672000,1000,51062672,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
136,20050709,6,26,1279,66993,1119075,51144633000,1000,51144633,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
137,20050716,9,40,1578,72935,1186655,49978654000,1000,49978654,api-0111.json,39319e70380d4d0d817733e341dce0cdf00648b47f1892f97d32922ae7679d9e
138,20050723,5,32,1251,61230,1056925,47688450000,1000,47688450,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
139,20050730,7,28,1128,57271,986618,48371085000,1000,48371085,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
140,20050806,5,34,1310,64372,1082575,45983464000,1000,45983464,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
141,20050813,6,29,1144,58203,1000591,48016958000,1000,48016958,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
142,20050820,11,28,1326,64602,1067644,48012844000,1000,48012844,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
143,20050827,3,35,1182,57130,986951,49415357000,1000,49415357,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
144,20050903,8,38,1498,74181,1180411,49202521000,1000,49202521,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
145,20050910,3,38,1217,63120,1093545,48913832000,1000,48913832,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
146,20050917,2,34,1383,62524,1038812,50677555000,1000,50677555,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
147,20050924,7,35,1215,62412,1067800,50345605000,1000,50345605,api-0110.json,3f8d5bbe10c16712315109a0aa8bd8d44194db01e4d5e9348ebeddcd8b82cdd1
148,20051001,5,35,1185,63358,1079664,49523247000,1000,49523247,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
149,20051008,7,43,1171,60450,1016240,48406950000,1000,48406950,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
150,20051015,4,46,1279,65200,1100850,48763778000,1000,48763778,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
